Data1,Data2,Preference,ScriptAgentLabel
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_106_to_135,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_111_to_140,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_116_to_145,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_11_to_40,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_121_to_150,1,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_126_to_155,1,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_131_to_160,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_136_to_165,1,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_141_to_170,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_146_to_175,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_151_to_180,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_156_to_185,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_161_to_190,1,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_166_to_195,1,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_16_to_45,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_171_to_200,0,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_1_to_30,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_21_to_50,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_26_to_55,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_31_to_60,0,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_36_to_65,0,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_41_to_70,0,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_46_to_75,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_51_to_80,0,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_56_to_85,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_61_to_90,0,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_66_to_95,1,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_6_to_35,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_71_to_100,0,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_76_to_105,1,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_81_to_110,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_86_to_115,1,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_91_to_120,0,2
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PBT_coord_100_1_steps_96_to_125,1,1
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PPO_coord_60_1_steps_101_to_130,1,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PPO_coord_60_1_steps_106_to_135,0,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PPO_coord_60_1_steps_111_to_140,1,0
PBT_PBT_coord_100_1_steps_101_to_130,PBT_PPO_coord_60_1_steps_116_to_145,0,0
